subject	population	primary_eligible	complete_truth_available	exact_truth_loci	source_record_count	eligibility_reason	truth_source_sha256
HG00262	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00263	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00264	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00265	GBR	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00266	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00267	FIN	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00268	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00269	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00270	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00271	FIN	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00272	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00273	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00274	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00275	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00276	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00277	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00278	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00280	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00281	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00282	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00284	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00285	FIN	1	0	1	1		0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00306	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
HG00308	FIN	0	0	0	1	unresolved_or_ambiguous	0455d0302ac12a29ab87091cab5e3e557416f6301e89fb122eef8d49cd5644ec
