run_accession	submitted_ftp	submitted_md5	submitted_bytes
ERR188235	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188235/NA11930.3.M_120202_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188235/NA11930.3.M_120202_8_2.fastq.gz	1d0eeaf5b48f49472f0ab5d517cd0fba;b0cc8ecb719eb088ee2fcd587940b201	1682700051;1675691567
ERR188242	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188242/HG00258.1.M_111124_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188242/HG00258.1.M_111124_6_2.fastq.gz	cc4173c84ea8e37b15ab32a9a84e2de4;f22c95676e4d6ed2e0b23c9644dcbf11	2039132920;2074340862
ERR188253	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188253/NA20808.4.M_120208_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188253/NA20808.4.M_120208_6_2.fastq.gz	d6c76aa849b9356d3577dbf313c58686;b7ae5a6e0f8922475dcc7036da35cff2	2019345275;2024366875
ERR188254	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188254/NA20506.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188254/NA20506.1.M_120209_2_2.fastq.gz	88fe6685b2f827edd5900a049a3d0f4e;a2be0635febd9d3b194dab56bcce25b8	1605658515;1634091434
ERR188259	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188259/NA20582.4.M_120208_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188259/NA20582.4.M_120208_2_2.fastq.gz	d9071cfb88ace69295703050f225d895;50c5557f3d5cc152f663694b5265137a	2343076881;2322962271
ERR188266	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188266/HG00282.2.M_111216_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188266/HG00282.2.M_111216_6_2.fastq.gz	68756b40d49941e38a1dc2cd5603c013;99b37a82f2dd96253a0801a139446c19	2396498900;2407925522
ERR188278	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188278/NA18861.1.M_120209_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188278/NA18861.1.M_120209_2_2.fastq.gz	eda724fd80e6f3e47d3fb901cc8a2eb9;abf54ecf026c1d508d95a22c9964ef8f	1068073755;1088717867
ERR188281	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188281/NA20801.7.M_120219_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188281/NA20801.7.M_120219_5_2.fastq.gz	8879e66afa1100f46fe702d68c0f48e7;b501ec7741b4e7d0aef7898a448e7328	3006151627;3039368333
ERR188285	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188285/HG00122.6.M_120119_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188285/HG00122.6.M_120119_1_2.fastq.gz	5a1508a6e2890e7196b08d55b3d68fd7;c3cb1a995b7a567c22e031fab8eb2157	2057271002;2075584650
ERR188286	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188286/NA20805.4.M_120208_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188286/NA20805.4.M_120208_7_2.fastq.gz	9d1d84d15077d5976ac82f19f70bc9fd;af333e2b2ba720e4ebcfd7057ddce996	1260692489;1270340366
ERR188293	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188293/HG00116.2.M_120131_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188293/HG00116.2.M_120131_1_2.fastq.gz	863ddd9ba7573d6bcaeb940c44b0ddf8;75f43e3db0e6e1fd95b10bf790b6ca2c	2188550370;2184194396
ERR188294	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188294/HG00332.6.M_120217_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188294/HG00332.6.M_120217_1_2.fastq.gz	bed8444eab35e2576b308b7465d71469;00ae58fa85c6580a1d5a014bcbc5117f	1775052033;1741200770
ERR188320	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188320/HG00185.1.M_111124_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188320/HG00185.1.M_111124_5_2.fastq.gz	5362cbe70fde270cb95741f0d0d3c3ef;4b89b51f644b7d4c45a91f9aad90b14b	2162805441;2173714463
ERR188326	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188326/HG00275.4.M_120208_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188326/HG00275.4.M_120208_8_2.fastq.gz	c7507899ccd5aaa414dc06bcbe0e1673;9857e1a2f5ca812ba0bba7c86a273ce3	1880907079;1873031346
ERR188328	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188328/HG00109.3.M_120202_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188328/HG00109.3.M_120202_5_2.fastq.gz	3184be59230a6ec3f5ad536ace4bd068;616ce31e90bc4e7b3689a5400d0f55f5	1398079399;1387708947
ERR188329	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188329/NA20505.1.M_111124_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188329/NA20505.1.M_111124_6_2.fastq.gz	c0bd36e565f6bad17c81c81dc8c9562e;169e0075b79ba5bb1033dec1613c60db	2582044571;2615875040
ERR188344	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188344/NA18868.5.M_120131_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188344/NA18868.5.M_120131_3_2.fastq.gz	260b3344b2bd39c10c766768cba691cb;7c37140ebc120883f2ba7ba0a973abdf	1992791582;1997157746
